Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),cluster,PC1,PC2,PC3
56,Female,53.8,1.62,163.0,149.0,71.0,1.01,HIIT,22.1,3.5,3,Intermediate,20.4,9.5,0.8478260869565217,8.054347826086957,437.7,1,-0.010535153533785799,-1.7781364706814284,-1.5515676760584574
46,Male,54.9,1.75,170.0,126.0,73.0,0.25,Yoga,19.9,3.4,3,Beginner,18.0,3.0,0.5463917525773195,1.6391752577319587,22.5,1,-1.2670548085295492,-1.9243015926346565,-1.2959879220873665
32,Female,68.5,1.61,190.0,171.0,60.0,0.33,HIIT,20.4,2.7,3,Intermediate,26.5,9.5,0.8538461538461538,8.111538461538462,183.4,2,-1.2127872790025034,1.371529593975493,-0.004398404247691787
25,Male,98.8,1.86,189.0,135.0,69.0,0.78,Yoga,30.3,4.4,3,Beginner,28.5,3.0,0.55,1.65,127.2,2,-0.7581830477505591,0.5404743231033367,3.062858989575783
38,Male,95.5,1.71,176.0,138.0,66.0,0.55,Cardio,23.7,2.2,2,Beginner,32.5,7.0,0.6545454545454545,4.581818181818182,240.7,2,-1.8174349811470667,-0.7530544606574676,2.8262681959811147
56,Female,47.4,1.62,163.0,124.0,77.0,0.75,Yoga,28.7,3.7,5,Intermediate,18.1,3.0,0.5465116279069767,1.63953488372093,58.3,1,-0.34109876227811314,-2.7286094525331652,-2.2110078345806006
36,Female,71.1,1.62,183.0,136.0,78.0,0.41,Yoga,25.5,3.3,2,Beginner,27.1,3.0,0.5523809523809524,1.6571428571428573,48.3,1,-2.339531998118436,-0.5306258311493044,0.3180070113762395
40,Female,72.5,1.63,176.0,137.0,63.0,0.52,Cardio,18.3,2.7,3,Intermediate,27.3,7.0,0.6548672566371682,4.5840707964601775,172.8,1,-0.5390334635563102,-0.7747342315889804,0.48876148444499007
28,Male,71.6,1.82,191.0,164.0,83.0,0.78,Mixed,26.5,4.2,2,Beginner,21.7,8.0,0.75,6.0,335.1,2,-1.9335490008903582,1.2813480803496766,0.38049716151695406
28,Female,49.0,1.55,199.0,166.0,66.0,0.67,Mixed,21.3,3.7,4,Intermediate,20.3,8.0,0.7518796992481203,6.015037593984962,197.5,0,-0.26561664902048293,1.909249053981635,-2.2175709671801
41,Male,51.2,1.61,179.0,126.0,62.0,1.07,Yoga,14.5,3.8,7,Expert,19.7,3.0,0.5470085470085471,1.6410256410256412,89.9,3,2.7083017195986,-0.6586137076882476,-1.8034812675505627
53,Male,57.7,1.62,161.0,140.0,77.0,0.44,Mixed,28.7,3.5,3,Beginner,21.9,8.0,0.75,6.0,152.3,1,-1.8331159711745582,-2.294798326479993,-1.121941312397152
57,Male,69.9,1.68,163.0,135.0,70.0,0.43,Strength,27.6,2.8,4,Intermediate,24.8,6.0,0.6989247311827957,4.193548387096774,126.0,1,-1.2112774060921556,-2.452480769537251,0.23305026155751896
41,Female,80.4,1.65,168.0,142.0,63.0,1.0,Mixed,20.9,4.6,6,Advanced,29.4,8.0,0.7523809523809524,6.019047619047619,483.9,3,1.9973365225025719,-0.6649258468069301,1.3683763455647384
20,Female,66.6,1.53,205.0,186.0,75.0,0.65,HIIT,37.7,3.0,3,Beginner,28.4,9.5,0.8538461538461538,8.111538461538462,351.1,2,-3.1404908583894224,2.94917171391731,-0.23154467158024464
39,Female,48.4,1.64,175.0,143.0,69.0,0.97,Strength,27.0,3.6,4,Intermediate,18.0,6.0,0.6981132075471698,4.188679245283018,196.7,1,-0.040345955694644546,-0.583144835720753,-2.1435980756391095
19,Male,58.1,1.67,202.0,171.0,76.0,0.48,Mixed,25.5,4.4,2,Beginner,20.8,8.0,0.753968253968254,6.031746031746032,168.2,2,-1.9509533191107695,2.46197671313705,-1.1562330209845508
41,Male,76.4,1.62,180.0,149.0,76.0,0.25,Strength,28.3,2.8,2,Beginner,29.2,6.0,0.7019230769230769,4.211538461538462,80.4,2,-2.9840827424235554,-0.5522945683966964,0.9084975122687131
